source,gsw,nfw,raw,target,born,icpsr,n_au,n_bills,n_co,nyears,party,sex,state,thomas,senate
Thad Cochran,0.7400829875518672,3.5388888888888888,9,Roger F. Wicker,1937,14009,7,243,236,30,REP,M,MS,00213,111
Thomas A. Coburn,0.7168069763648661,8.099713386029176,17,James M. Inhofe,1948,29555,9,171,162,0,REP,M,OK,00212,111
Thomas A. Coburn,0.2643831248006903,1.3777126099706745,13,Jim W. DeMint,1948,29555,9,171,162,0,REP,M,OK,00212,111
Thomas A. Coburn,0.3526170798898072,1.0666666666666667,2,George S. LeMieux,1948,29555,9,171,162,0,REP,M,OK,00212,111
Thomas Harkin,1,0.04020296643247463,2,Hillary Rodham Clinton,1939,14230,42,253,211,24,DEM,M,IA,00501,111
Thomas Richard Carper,0.4077669902912621,0.01639344262295082,1,Hillary Rodham Clinton,1947,15015,27,166,139,6,DEM,M,DE,00179,111
Tim P. Johnson,0.4077669902912621,0.01639344262295082,1,Hillary Rodham Clinton,1946,15425,17,277,260,12,DEM,M,SD,00604,111
Tom S. Udall,0.32066588400404356,11.628141923436042,25,Jeff Bingaman,1948,29924,15,215,200,0,DEM,M,NM,01567,111
Tom S. Udall,1,0.04020296643247463,2,Hillary Rodham Clinton,1948,29924,15,215,200,0,DEM,M,NM,01567,111
Alan Stuart Franken,NA,NA,NA,NA,1951,40904,30,358,328,0,DEM,M,MN,01969,112
Amy Jean Klobuchar,0.27118871242822584,3.0949392712550607,8,Alan Stuart Franken,1960,40700,61,391,330,0,DEM,F,MN,01826,112
Barbara A. Mikulski,0.3156959899584699,7.781139122315593,18,Benjamin L. Cardin,1936,14440,20,317,297,24,DEM,F,MD,00802,112
Barbara Boxer,0.5683778188434162,12.11075748082327,26,Dianne Feinstein,1940,15011,50,372,322,18,DEM,F,CA,00116,112
Ben E. Nelson,0.6339653855702342,4.213858363858364,8,Mike Johanns,1941,40103,12,135,123,6,DEM,M,NE,01627,112
Benjamin L. Cardin,0.320481047661284,1.1079545454545454,3,Jefferson B. Sessions,1943,15408,49,365,316,0,DEM,M,MD,00174,112
Bernard Sanders,0.26790755601188815,6.415254764392696,18,Kirsten E. Gillibrand,1941,29147,20,317,297,0,IND,M,VT,01010,112
Bernard Sanders,0.26798230079863783,1.879123654123654,11,Thomas Harkin,1941,29147,20,317,297,0,IND,M,VT,01010,112
Bill Nelson,0.792692245537035,5.676028138528139,13,Marco Rubio,1942,14651,34,248,214,6,DEM,M,FL,00859,112
Bob Corker,0.42946541393170257,1.2436868686868687,4,Lamar Alexander,1952,40705,6,142,136,0,REP,M,TN,01825,112
Bob Corker,0.2774108322324967,0.5,1,Ron Johnson,1952,40705,6,142,136,0,REP,M,TN,01825,112
Carl Levin,NA,NA,NA,NA,1934,14709,18,199,181,30,DEM,M,MI,01384,112
Charles E. Grassley,NA,NA,NA,NA,1933,14226,27,269,242,30,REP,M,IA,00457,112
Charles E. Schumer,0.38694186612504045,9.265623885918004,28,Kirsten E. Gillibrand,1950,14858,67,391,324,12,DEM,M,NY,01036,112
Chris Andrew Coons,0.8053888708811937,19.027027027027028,24,Thomas Richard Carper,1963,40916,22,335,313,0,DEM,M,DE,01984,112
Claire McCaskill,0.4964829622928324,3.092857142857143,6,Roy Blunt,1953,40701,17,221,204,0,DEM,F,MO,01820,112
Daniel K. Inouye,0.5661902176143405,6.486199400015189,18,Daniel Kahikina Akaka,1924,4812,26,212,186,48,DEM,M,HI,01369,112
Daniel Kahikina Akaka,0.3256578525370022,5.424145299145299,9,Daniel K. Inouye,1924,14400,33,304,271,17,DEM,M,HI,00007,112
Daniel Ray Coats,NA,NA,NA,NA,1943,14806,4,167,163,22,REP,M,IN,00209,112
David Vitter,0.39252336448598135,1,1,Daniel Ray Coats,1961,29918,42,262,220,6,REP,M,LA,01609,112
Dean Heller,NA,NA,NA,NA,1960,20730,14,211,197,0,REP,M,NV,01863,112
Debbie Ann Stabenow,0.4065114606295672,3.6367716238405894,10,Carl Levin,1950,29732,34,288,254,6,DEM,F,MI,01531,112
Dianne Feinstein,0.5364509315496839,13.033461859777649,25,Barbara Boxer,1933,49300,48,346,298,15,DEM,F,CA,01332,112
Dianne Feinstein,0.28391167192429023,1,1,Jon Kyl,1933,49300,48,346,298,15,DEM,F,CA,01332,112
Frank R. Lautenberg,0.270914848234299,6.008386577992087,39,Robert Menéndez,1924,14914,52,343,291,27,DEM,M,NJ,01381,112
Harry M. Reid,NA,NA,NA,NA,1939,15054,59,167,108,24,DEM,M,NV,00952,112
Herbert H. Kohl,0.5548216644649934,1,1,Ron Johnson,1935,15703,35,174,139,18,DEM,M,WI,01380,112
James M. Inhofe,0.26569666297643524,2,2,Ben E. Nelson,1934,15424,23,294,271,15,REP,M,OK,00583,112
James Risch,0.5755154517944778,6.620815295815296,15,Michael D. Crapo,1943,40902,3,263,260,0,REP,M,ID,01896,112
Jeanne Shaheen,NA,NA,NA,NA,1947,40906,18,248,230,0,DEM,F,NH,01901,112
Jeff Bingaman,0.6268317024490111,5.9754901960784315,12,Tom S. Udall,1943,14912,46,217,171,24,DEM,M,NM,01285,112
Jeff Merkley,0.6713441671659398,21.1010101010101,34,Ron Wyden,1956,40908,34,336,302,0,DEM,M,OR,01900,112
Jefferson B. Sessions,0.7340457286132172,1.242020202020202,4,Richard C. Shelby,1946,49700,9,204,195,12,REP,M,AL,01548,112
Jerry Moran,0.5846999000204259,3.863895993179881,8,Pat Roberts,1954,29722,19,253,234,0,REP,M,KS,01507,112
Jim W. DeMint,0.4653453301423989,3.771586678844743,11,Rand Paul,1951,29936,29,159,130,6,REP,M,SC,01605,112
Jim W. DeMint,0.28614160670689354,1.4914094747639453,7,Lindsey O. Graham,1951,29936,29,159,130,6,REP,M,SC,01605,112
Jim W. DeMint,0.29478561282966836,2.124876575330296,9,Mike Lee,1951,29936,29,159,130,6,REP,M,SC,01605,112
Jim Webb,0.3987763256472155,3.5095238095238095,7,Mark Warner,1946,40706,25,146,121,0,DEM,M,VA,01822,112
Joe Manchin III,NA,NA,NA,NA,1947,40915,10,148,138,0,DEM,M,WV,01983,112
John A. Barrasso,0.7076805701848553,5.492524716662648,15,Michael B. Enzi,1952,40707,18,256,238,0,REP,M,WY,01881,112
John Boozman,0.3130779392338177,0.5642857142857143,3,Ron Johnson,1950,20101,7,300,293,0,REP,M,AR,01687,112
John Cornyn,0.25496096454989575,0.6924191005073358,5,John A. Barrasso,1952,40305,22,275,253,7,REP,M,TX,01692,112
John Cornyn,0.58517664776727,10.867629722454284,19,Kay Bailey Hutchison,1952,40305,22,275,253,7,REP,M,TX,01692,112
John D. Rockefeller IV,NA,NA,NA,NA,1937,14922,44,220,176,24,DEM,M,WV,01424,112
John Eric Ensign,NA,NA,NA,NA,1958,29537,13,65,52,6,REP,M,NV,00348,112
John F. Reed,0.7272727272727273,1,1,Saxby Chambliss,1949,29142,33,203,170,12,DEM,M,RI,00949,112
John Forbes Kerry,0.25386199794026776,3.625,5,Scott Brown,1943,14920,72,374,302,24,DEM,M,MA,01379,112
John H. Isakson,0.3013582342954159,1.2678571428571428,3,John Eric Ensign,1944,29909,14,296,282,6,REP,M,GA,01608,112
John Hoeven,0.427074574675461,2.812094338410128,7,Kent Kent Conrad,1957,41107,14,207,193,0,REP,M,ND,02079,112
John Hoeven,0.3753717605028478,1.0194289044289044,7,John A. Barrasso,1957,41107,14,207,193,0,REP,M,ND,02079,112
John S. McCain,0.6277602523659307,2.2111111111111112,4,Jon Kyl,1936,15039,27,208,181,24,REP,M,AZ,00754,112
John Thune,0.31555633715023224,2.0434343434343436,4,Tim P. Johnson,1961,29754,22,257,235,6,REP,M,SD,01534,112
John Thune,0.33851805667595986,0.9193421774304128,9,John A. Barrasso,1961,29754,22,257,235,6,REP,M,SD,01534,112
Jon Kyl,0.4581466588445872,5.91010101010101,9,John S. McCain,1942,15429,7,170,163,12,REP,M,AZ,00655,112
Jon Tester,0.664170079203334,11.621077016665252,21,Max S. Baucus,1956,40702,46,320,274,0,DEM,M,MT,01829,112
Joseph I. Lieberman,NA,NA,NA,NA,1942,15704,47,307,260,18,IND,M,CT,01385,112
Kay Bailey Hutchison,0.44560111717659007,3,3,Dean Heller,1943,49306,32,290,258,14,REP,F,TX,01368,112
Kay Bailey Hutchison,0.5504288494721004,6.377631578947368,12,John Cornyn,1943,49306,32,290,258,14,REP,F,TX,01368,112
Kay Hagan,0.3185079860958435,4.024242424242424,9,Richard M. Burr,1953,40907,23,207,184,0,DEM,F,NC,01902,112
Kelly Ayotte,0.39252336448598135,1,1,Daniel Ray Coats,1968,41106,11,219,208,0,REP,F,NH,02075,112
Kelly Ayotte,0.3136204247271581,2.01010101010101,3,Jeanne Shaheen,1968,41106,11,219,208,0,REP,F,NH,02075,112
Kent Kent Conrad,0.7761054624151081,2.818629076838032,9,John Hoeven,1948,15502,17,142,125,20,DEM,M,ND,01307,112
Kirsten E. Gillibrand,0.28803299407969135,1.562049062049062,7,Bernard Sanders,1966,20735,56,458,402,0,DEM,F,NY,01866,112
Kirsten E. Gillibrand,0.44414378055837583,12.749530493237588,32,Charles E. Schumer,1966,20735,56,458,402,0,DEM,F,NY,01866,112
Lamar Alexander,0.28754813863928114,1.0666666666666667,2,Bob Corker,1940,40304,10,203,193,6,REP,M,TN,01695,112
Lindsey O. Graham,0.42354578487394084,3.6174437464240268,18,Jim W. DeMint,1955,29566,18,217,199,6,REP,M,SC,00452,112
Lisa A. Murkowski,0.7741207098835035,17.12013888888889,27,Mark Begich,1957,40300,47,317,270,8,REP,F,AK,01694,112
Marco Rubio,0.35478371373302797,4.721316591904827,15,Bill Nelson,1971,41102,24,301,277,0,REP,M,FL,02084,112
Marco Rubio,0.3132830393783984,2.258209908663629,9,Mike Lee,1971,41102,24,301,277,0,REP,M,FL,02084,112
Maria Cantwell,0.5256951476428853,9.928556910569105,16,Patty Murray,1958,39310,19,197,178,6,DEM,F,WA,00172,112
Mark Begich,0.41171677011917523,7.185105635105635,25,Jon Tester,1962,40900,41,473,432,0,DEM,M,AK,01898,112
Mark Begich,0.3,1,3,John Boozman,1962,40900,41,473,432,0,DEM,M,AK,01898,112
Mark Begich,0.3196168429455199,1.7333333333333334,5,Bernard Sanders,1962,40900,41,473,432,0,DEM,M,AK,01898,112
Mark Begich,0.8931157807526691,25.903346067641397,40,Lisa A. Murkowski,1962,40900,41,473,432,0,DEM,M,AK,01898,112
Mark E. Udall,0.49473280980655054,6.15,9,Michael F. Bennet,1950,29906,33,212,179,0,DEM,M,CO,01595,112
Mark Pryor,0.6749999999999999,2.25,3,John Boozman,1963,40301,32,182,150,6,DEM,M,AR,01701,112
Mark Pryor,0.3453163531308715,1,1,Lamar Alexander,1963,40301,32,182,150,6,DEM,M,AR,01701,112
Mark Pryor,0.4370267939046263,2.6666666666666665,4,Roger F. Wicker,1963,40301,32,182,150,6,DEM,M,AR,01701,112
Mark Steven Kirk,0.25,1.5833333333333333,3,Joe Manchin III,1959,20115,13,214,201,1,REP,M,IL,01647,112
Mark Steven Kirk,0.34448798618017956,3.1395282714361663,11,Richard J. Durbin,1959,20115,13,214,201,1,REP,M,IL,01647,112
Mark Warner,0.4843519805944766,7.134822167080231,11,Jim Webb,1954,40909,15,154,139,0,DEM,M,VA,01897,112
Mary L. Landrieu,0.28202908550470834,5.333333333333333,8,David Vitter,1955,49702,46,310,264,12,DEM,F,LA,01546,112
Max S. Baucus,NA,NA,NA,NA,1941,14203,39,159,120,31,DEM,M,MT,00066,112
Michael B. Enzi,0.9022418121898983,2.4502945583827938,15,John A. Barrasso,1944,49706,23,279,256,12,REP,M,WY,01542,112
Michael D. Crapo,0.8888888888888888,2,2,James Risch,1951,29345,26,291,265,12,REP,M,ID,00250,112
Michael F. Bennet,0.26957637997432604,1,1,Bob Corker,1964,40910,23,230,207,2,DEM,M,CO,01965,112
Michael F. Bennet,0.5258352614648357,7.436111111111111,17,Mark E. Udall,1964,40910,23,230,207,2,DEM,M,CO,01965,112
Mike Johanns,NA,NA,NA,NA,1950,40905,21,279,258,0,REP,M,NE,01899,112
Mike Lee,0.5815072740385211,12.645515403257146,23,Orrin G. Hatch,1971,41110,16,229,213,0,REP,M,UT,02080,112
Mike Lee,0.3874757742071508,3.3093749633552436,20,Jim W. DeMint,1971,41110,16,229,213,0,REP,M,UT,02080,112
Mike Lee,0.3728089449747372,3.021586678844743,11,Rand Paul,1971,41110,16,229,213,0,REP,M,UT,02080,112
Mike Lee,0.33987179819844093,0.9230186480186481,7,John A. Barrasso,1971,41110,16,229,213,0,REP,M,UT,02080,112
Mitch McConnell,0.7667987139675428,30.03040610183467,33,Harry M. Reid,1942,14921,17,166,149,24,REP,M,KY,01395,112
Olympia J. Snowe,NA,NA,NA,NA,1947,14661,46,324,278,12,REP,F,ME,01085,112
Orrin G. Hatch,0.37626037032273285,1.0218421774304127,9,John A. Barrasso,1934,14503,39,219,180,30,REP,M,UT,01351,112
Pat Roberts,0.7021701049408824,6.843497082627517,12,Jerry Moran,1936,14852,14,267,253,12,REP,M,KS,00968,112
Patrick J. Leahy,0.27574003858178675,1.4953823953823953,8,Bernard Sanders,1940,14307,46,284,238,36,DEM,M,VT,01383,112
Patrick J. Toomey,NA,NA,NA,NA,1961,29935,16,186,170,0,REP,M,PA,02085,112
Patty Murray,0.7501050242470726,7.805842257158047,14,Maria Cantwell,1950,49308,41,295,254,18,DEM,F,WA,01409,112
Rand Paul,0.5546387389176975,3.729352766798419,9,Mitch McConnell,1963,41104,19,159,140,0,REP,M,KY,02082,112
Richard Blumenthal,0.2685407167571908,2.7290003790488844,21,Sheldon Whitehouse,1946,41101,37,470,433,0,DEM,M,CT,02076,112
Richard Blumenthal,0.27672299214460727,6.1245630559916275,12,Joseph I. Lieberman,1946,41101,37,470,433,0,DEM,M,CT,02076,112
Richard C. Shelby,0.6418751467404065,2.2190656565656566,5,Jefferson B. Sessions,1934,14659,6,104,98,24,REP,M,AL,01049,112
Richard G. Lugar,NA,NA,NA,NA,1932,14506,22,174,152,30,REP,M,IN,01387,112
Richard J. Durbin,0.5919044459190446,2.477777777777778,5,Mark Steven Kirk,1944,15021,35,370,335,12,DEM,M,IL,00326,112
Richard M. Burr,0.2727272727272727,0.375,2,Saxby Chambliss,1955,29548,33,302,269,6,REP,M,NC,00153,112
Richard M. Burr,0.3216845699352986,3.1509370816599733,6,Kay Hagan,1955,29548,33,302,269,6,REP,M,NC,00153,112
Richard M. Burr,0.27459885115642824,1.702922077922078,6,Patrick J. Toomey,1955,29548,33,302,269,6,REP,M,NC,00153,112
Robert J. Portman,NA,NA,NA,NA,1955,29386,15,179,164,0,REP,M,OH,00924,112
Robert Menéndez,0.3790203500834267,7.742094591232522,28,Frank R. Lautenberg,1954,29373,75,363,288,1,DEM,M,NJ,00791,112
Robert P. Casey Jr.,0.36715741090018694,2.276923076923077,4,Patrick J. Toomey,1960,40703,62,344,282,0,DEM,M,PA,01828,112
Roger F. Wicker,0.920863309352518,3.878787878787879,6,Thad Cochran,1951,29534,16,299,283,0,REP,M,MS,01226,112
Ron Johnson,NA,NA,NA,NA,1955,41111,7,159,152,0,REP,M,WI,02086,112
Ron Wyden,0.34266712509053787,5.387634898920808,12,Jeff Merkley,1949,14871,59,332,273,15,DEM,M,OR,01247,112
Roy Blunt,0.463224650168884,4,6,Claire McCaskill,1950,29735,14,338,324,0,REP,M,MO,01464,112
Saxby Chambliss,0.2691053113915345,1.4026139565566624,11,Lindsey O. Graham,1943,29512,3,282,279,6,REP,M,GA,00188,112
Saxby Chambliss,0.32605905006418484,1.2095238095238094,3,Bob Corker,1943,29512,3,282,279,6,REP,M,GA,00188,112
Saxby Chambliss,0.32643540035697244,1.999134199134199,9,John H. Isakson,1943,29512,3,282,279,6,REP,M,GA,00188,112
Scott Brown,0.34782608695652173,1.4666666666666666,5,Kelly Ayotte,1959,40913,30,301,271,0,REP,M,MA,01975,112
Scott Brown,0.39450393252076543,13.13341093660861,23,John Forbes Kerry,1959,40913,30,301,271,0,REP,M,MA,01975,112
Sheldon Whitehouse,0.25455271385349276,1.45,3,Robert J. Portman,1955,40704,38,391,353,0,DEM,M,RI,01823,112
Sheldon Whitehouse,0.2765672729310876,3.5601551226551225,20,John F. Reed,1955,40704,38,391,353,0,DEM,M,RI,01823,112
Sherrod Brown,0.3664471496042041,1.9873015873015873,9,Bernard Sanders,1952,29389,61,418,357,0,DEM,M,OH,00136,112
Susan M. Collins,0.26569666297643524,2,2,Ben E. Nelson,1952,49703,34,366,332,12,REP,F,ME,01541,112
Susan M. Collins,0.4178487532592883,9.248024594453165,24,Joseph I. Lieberman,1952,49703,34,366,332,12,REP,F,ME,01541,112
Thad Cochran,0.277694108626898,1.6944444444444444,6,Roger F. Wicker,1937,14009,7,261,254,30,REP,M,MS,00213,112
Thomas A. Coburn,0.3165437652531369,2.7035548575351376,19,Jim W. DeMint,1948,29555,20,249,229,6,REP,M,OK,00212,112
Thomas Harkin,NA,NA,NA,NA,1939,14230,30,244,214,24,DEM,M,IA,00501,112
Thomas Richard Carper,0.6718140124819887,4.983333333333333,8,Chris Andrew Coons,1947,15015,34,174,140,6,DEM,M,DE,00179,112
Tim P. Johnson,NA,NA,NA,NA,1946,15425,15,245,230,12,DEM,M,SD,00604,112
Tom S. Udall,0.5582853261716553,14.603034345922277,26,Jeff Bingaman,1948,29924,22,217,195,0,DEM,M,NM,01567,112
Alan Stuart Franken,0.3966216130377516,14.402374077827798,30,Amy Jean Klobuchar,1951,40904,38,396,358,0,DEM,M,MN,01969,113
Amy Jean Klobuchar,0.36113665322035254,6.251419272666146,18,Alan Stuart Franken,1960,40700,72,447,375,6,DEM,F,MN,01826,113
Angus King,0.3316225819186735,2.5,3,Deb Fischer,1944,41300,13,226,213,0,IND,M,ME,02185,113
Angus King,0.3513752754464229,6.09280303030303,9,Susan M. Collins,1944,41300,13,226,213,0,IND,M,ME,02185,113
Barbara A. Mikulski,0.3172616947147223,7.367650626346278,18,Benjamin L. Cardin,1936,14440,14,240,226,24,DEM,F,MD,00802,113
Barbara Boxer,0.4829073253946588,9.958891925068396,20,Dianne Feinstein,1940,15011,55,364,309,18,DEM,F,CA,00116,113
Benjamin L. Cardin,0.5088408644400786,3.0833333333333335,9,Barbara A. Mikulski,1943,15408,51,350,299,6,DEM,M,MD,00174,113
Benjamin L. Cardin,0.7933598017533107,2.148196248196248,5,Jefferson B. Sessions,1943,15408,51,350,299,6,DEM,M,MD,00174,113
Bernard Sanders,NA,NA,NA,NA,1941,29147,42,239,197,6,IND,M,VT,01010,113
Bill Nelson,0.303685142139129,3.879979035639413,8,Marco Rubio,1942,14651,38,230,192,12,DEM,M,FL,00859,113
Bob Corker,0.6158317968164345,5.31962481962482,10,Lamar Alexander,1952,40705,10,105,95,6,REP,M,TN,01825,113
Brian Emanuel Schatz,0.6168795507290024,5.024675324675324,12,Mazie K. Hirono,1972,41112,18,355,337,0,DEM,M,HI,02173,113
Carl Levin,0.2774295099020379,2.553888888888889,6,Debbie Ann Stabenow,1934,14709,19,193,174,30,DEM,M,MI,01384,113
Charles E. Grassley,NA,NA,NA,NA,1933,14226,22,238,216,30,REP,M,IA,00457,113
Charles E. Schumer,NA,NA,NA,NA,1950,14858,41,357,316,12,DEM,M,NY,01036,113
Chris Andrew Coons,0.2803897270128622,2.656053391053391,9,Thomas Richard Carper,1963,40916,39,361,322,0,DEM,M,DE,01984,113
Christopher S. Murphy,0.2838283828382838,1,1,Ron Johnson,1973,20707,23,264,241,0,DEM,M,CT,01837,113
Christopher S. Murphy,0.3269389889480249,8.077735490205432,23,Richard Blumenthal,1973,20707,23,264,241,0,DEM,M,CT,01837,113
Claire McCaskill,0.2553291666042561,1.1174096174096173,4,Roy Blunt,1953,40701,22,171,149,6,DEM,F,MO,01820,113
Cory Anthony Booker,NA,NA,NA,NA,1969,41308,10,154,144,0,DEM,M,NJ,02194,113
Daniel Ray Coats,0.30950446791226643,1.1339285714285714,3,Joe Donnelly,1943,14806,11,164,153,22,REP,M,IN,00209,113
David Vitter,0.42030567685589526,0.6111111111111112,2,Tim Scott,1961,29918,39,276,237,6,REP,M,LA,01609,113
David Vitter,0.2696696146267699,1.3717948717948718,3,Bob Corker,1961,29918,39,276,237,6,REP,M,LA,01609,113
David Vitter,0.2716107130432452,1.1074079994316568,7,Mike Lee,1961,29918,39,276,237,6,REP,M,LA,01609,113
Dean Heller,0.272948822095857,1,1,Joe Donnelly,1960,20730,31,264,233,2,REP,M,NV,01863,113
Deb Fischer,0.7474135081839907,6.901897345860194,15,Mike Johanns,1951,41302,15,186,171,0,REP,F,NE,02179,113
Debbie Ann Stabenow,0.35653854518158923,3.0198158051099226,10,Carl Levin,1950,29732,25,263,238,12,DEM,F,MI,01531,113
Dianne Feinstein,0.4003385503867709,9.956182836771072,23,Barbara Boxer,1933,49300,40,309,269,21,DEM,F,CA,01332,113
Edward J. Markey,0.5839806824775846,2.250937950937951,10,Elizabeth Warren,1946,14435,21,286,265,0,DEM,M,MA,00735,113
Edward J. Markey,0.33440288955516984,2.5497326203208557,6,Tammy Baldwin,1946,14435,21,286,265,0,DEM,M,MA,00735,113
Elizabeth Warren,0.2685343868508441,2.307148407148407,8,Edward J. Markey,1949,41301,15,307,292,0,DEM,F,MA,02182,113
Frank R. Lautenberg,NA,NA,NA,NA,1924,14914,26,123,97,27,DEM,M,NJ,01381,113
Harry M. Reid,0.34092950530623106,5.545454545454546,7,Dean Heller,1939,15054,57,152,95,24,DEM,M,NV,00952,113
Heidi Heitkamp,0.7077038402448095,7.076647426647427,14,John Hoeven,1955,41303,8,200,192,0,DEM,F,ND,02174,113
James M. Inhofe,NA,NA,NA,NA,1934,15424,26,307,281,15,REP,M,OK,00583,113
James Risch,1,6.333333333333333,7,Michael D. Crapo,1943,40902,9,249,240,0,REP,M,ID,01896,113
Jeanne Shaheen,0.5081557903560884,6.243878164888052,12,Kelly Ayotte,1947,40906,53,363,310,0,DEM,F,NH,01901,113
Jeff Flake,0.6542461005199307,4.635964912280702,9,John S. McCain,1962,20100,18,160,142,0,REP,M,AZ,01633,113
Jeff Merkley,0.4562147667874971,12.376588592286266,26,Ron Wyden,1956,40908,26,314,288,0,DEM,M,OR,01900,113
Jefferson B. Sessions,0.48175182481751827,2.0140845070422535,3,Richard C. Shelby,1946,49700,8,158,150,12,REP,M,AL,01548,113
Jeffrey Scott Chiesa,NA,NA,NA,NA,1965,NA,0,12,12,0,REP,M,NJ,02192,113
Jerry Moran,0.47137645717057663,4.034027777777777,11,Pat Roberts,1954,29722,22,269,247,0,REP,M,KS,01507,113
Joe Donnelly,0.3381512862784189,1.75,3,Daniel Ray Coats,1955,20717,8,120,112,0,DEM,M,IN,01850,113
Joe Manchin III,NA,NA,NA,NA,1947,40915,25,213,188,3,DEM,M,WV,01983,113
John A. Barrasso,0.4729578150310058,4.218686868686869,15,Michael B. Enzi,1952,40707,27,236,209,6,REP,M,WY,01881,113
John A. Barrasso,0.34388646288209607,0.5,1,Tim Scott,1952,40707,27,236,209,6,REP,M,WY,01881,113
John Boozman,0.46664055722809816,9.452373737373737,21,Mark Pryor,1950,20101,16,298,282,0,REP,M,AR,01687,113
John Cornyn,NA,NA,NA,NA,1952,40305,36,288,252,7,REP,M,TX,01692,113
John D. Rockefeller IV,NA,NA,NA,NA,1937,14922,38,217,179,24,DEM,M,WV,01424,113
John E. Walsh,0.28604594648630494,5.547347778008155,17,Jon Tester,1960,NA,11,141,130,0,DEM,M,MT,02198,113
John E. Walsh,0.3042835576802113,0.5748663101604278,4,Heidi Heitkamp,1960,NA,11,141,130,0,DEM,M,MT,02198,113
John F. Reed,NA,NA,NA,NA,1949,29142,52,251,199,12,DEM,M,RI,00949,113
John H. Isakson,0.6909871244635193,2.236111111111111,4,Saxby Chambliss,1944,29909,21,297,276,6,REP,M,GA,01608,113
John Hoeven,NA,NA,NA,NA,1957,41107,23,198,175,0,REP,M,ND,02079,113
John S. McCain,0.347485644684183,2.3773809523809524,10,Jeff Flake,1936,15039,14,155,141,24,REP,M,AZ,00754,113
John Thune,NA,NA,NA,NA,1961,29754,31,271,240,6,REP,M,SD,01534,113
Jon Tester,0.7058823529411765,4.9,7,John E. Walsh,1956,40702,53,322,269,6,DEM,M,MT,01829,113
Jon Tester,0.44788868212087835,5.840848406546081,14,Max S. Baucus,1956,40702,53,322,269,6,DEM,M,MT,01829,113
Kay Hagan,NA,NA,NA,NA,1953,40907,21,206,185,0,DEM,F,NC,01902,113
Kelly Ayotte,0.31034624315444553,6.0769455690508325,17,Jeanne Shaheen,1968,41106,29,303,274,0,REP,F,NH,02075,113
